Date,High,Low,Open,Close,Volume,Adj Close
08-11-2005,9.852819,9.678224,9.819444,9.7111,317084071,9.7111
09-11-2005,9.671001,9.415459,9.630652,9.443354,420245300,9.443354
10-11-2005,9.747215,9.400515,9.423678,9.740988,366516664,9.740988
11-11-2005,9.885447,9.684948,9.841113,9.723554,283615089,9.723554
14-11-2005,9.918324,9.751698,9.766393,9.88719,313486637,9.88719
15-11-2005,9.887938,9.737252,9.822682,9.78333,346289130,9.78333
16-11-2005,9.934015,9.815957,9.868012,9.91658,349111670,9.91658
17-11-2005,10.057552,9.950951,10.007489,10.048585,369869183,10.048585
18-11-2005,10.074737,9.958922,10.049582,9.967888,282077347,9.967888
21-11-2005,10.211226,9.800515,9.941985,10.195784,414953540,10.195784
22-11-2005,10.393792,10.117826,10.1781,10.37287,385278727,10.37287
23-11-2005,10.57835,10.355684,10.387067,10.532023,404912042,10.532023
25-11-2005,10.678724,10.592796,10.604751,10.675486,194329675,10.675486
28-11-2005,10.740741,10.521563,10.705374,10.547466,441986487,10.547466
29-11-2005,10.620193,10.015958,10.571874,10.050827,863054861,10.050827
30-11-2005,10.173119,9.852072,10.06876,10.084949,626202395,10.084949
01-12-2005,10.347216,10.169134,10.191799,10.313592,391257051,10.313592
02-12-2005,10.449084,10.307864,10.384576,10.403505,302870996,10.403505
05-12-2005,10.398524,10.069258,10.38607,10.108361,413118688,10.108361
06-12-2005,10.371376,10.004999,10.179345,10.075734,607279734,10.075734
07-12-2005,10.129532,9.938,10.116082,10.067764,468385066,10.067764
08-12-2005,10.227913,10.028411,10.094663,10.227913,357735875,10.227913
09-12-2005,10.355684,10.175858,10.336257,10.191799,306881974,10.191799
12-12-2005,10.341488,10.210479,10.327042,10.27673,279046027,10.27673
13-12-2005,10.410977,10.252571,10.273991,10.398275,327775997,10.398275
14-12-2005,10.454066,10.348461,10.387067,10.434887,266210095,10.434887
15-12-2005,10.538997,10.373617,10.438623,10.524302,242738446,10.524302
16-12-2005,10.772123,10.529284,10.593792,10.713593,655668429,10.713593
19-12-2005,11.113594,10.46353,10.764651,10.575361,880760980,10.575361
20-12-2005,10.764651,10.577104,10.656557,10.703381,404899997,10.703381
21-12-2005,10.880716,10.478474,10.798275,10.618449,450558497,10.618449
22-12-2005,10.78109,10.608487,10.753942,10.760666,302995460,10.760666
23-12-2005,10.772123,10.679471,10.763406,10.73302,184492943,10.73302
27-12-2005,10.756183,10.529533,10.756183,10.576357,269116950,10.576357
28-12-2005,10.654564,10.492173,10.568885,10.627416,285783185,10.627416
29-12-2005,10.678225,10.440118,10.659545,10.464526,278873383,10.464526
30-12-2005,10.416207,10.304875,10.392795,10.33277,304621533,10.33277
03-01-2006,10.851077,10.416457,10.523555,10.840119,526815259,10.840119
04-01-2006,11.182087,10.952697,11.056059,11.089434,613747887,11.089434
05-01-2006,11.246595,10.996283,11.108363,11.238874,433952486,11.238874
06-01-2006,11.718576,11.288687,11.379098,11.598028,712938289,11.598028
09-01-2006,11.790805,11.480468,11.616708,11.628912,513593887,11.628912
10-01-2006,11.712349,11.507866,11.567144,11.700145,365247927,11.700145
11-01-2006,11.833396,11.685699,11.737754,11.74672,361646478,11.74672
12-01-2006,11.830407,11.494416,11.798775,11.547467,406530084,11.547467
13-01-2006,11.628663,11.497156,11.564404,11.612723,307411953,11.612723
17-01-2006,11.703632,11.52007,11.53327,11.634142,332051965,11.634142
18-01-2006,11.391303,11.03987,11.140742,11.081215,822499417,11.081215
19-01-2006,11.294914,10.784577,11.23713,10.870505,583671575,10.870505
20-01-2006,10.95967,9.831649,10.926545,9.949208,1650832619,9.949208
23-01-2006,10.669757,10.105373,10.146469,10.64759,913065614,10.64759
24-01-2006,11.082211,10.821439,10.860044,11.03439,620902605,11.03439
25-01-2006,11.313345,10.69043,11.239372,10.784577,752401655,10.784577
26-01-2006,10.958674,10.549458,10.947466,10.816208,518982008,10.816208
27-01-2006,10.914589,10.684452,10.83439,10.796781,339355237,10.796781
30-01-2006,10.791551,10.585324,10.690679,10.630654,344843732,10.630654
31-01-2006,10.948961,10.55967,10.724054,10.776108,885948351,10.776108
01-02-2006,10.012471,9.651823,9.689432,10.006991,1088966472,10.006991
02-02-2006,10.124551,9.862533,10.057801,9.864027,474078326,9.864027
03-02-2006,9.810727,9.279468,9.803753,9.50313,734012987,9.50313
06-02-2006,9.7111,9.453566,9.596779,9.591549,358956433,9.591549
07-02-2006,9.556679,9.049829,9.538996,9.163652,667701363,9.163652
08-02-2006,9.232644,8.833639,9.1776,9.192544,835283155,9.192544
09-02-2006,9.325047,8.869505,9.245346,8.935757,478282024,8.935757
10-02-2006,9.078472,8.795532,9.01496,9.031398,611222457,9.031398
13-02-2006,8.732269,8.515332,8.633639,8.610227,791668286,8.610227
14-02-2006,8.759418,8.528035,8.601011,8.550949,588357072,8.550949
15-02-2006,8.617699,8.414211,8.49989,8.527537,519821141,8.527537
16-02-2006,9.140738,8.58009,8.60948,9.127289,855815829,9.127289
17-02-2006,9.268758,9.056554,9.211971,9.184325,574955025,9.184325
21-02-2006,9.303628,9.093665,9.126791,9.130527,348742290,9.130527
22-02-2006,9.189306,9.062531,9.144474,9.103129,260018976,9.103129
23-02-2006,9.495409,9.100639,9.106118,9.416455,503945859,9.416455
24-02-2006,9.466268,9.302382,9.397277,9.399767,260344190,9.399767
27-02-2006,9.755932,9.471498,9.496156,9.723056,410019113,9.723056
28-02-2006,9.901387,8.431148,9.793292,9.031647,1583416872,9.031647
